"LABEL_ABANDON_MATCH","TINGGALKAN PERTANDINGAN"
"LABEL_ACTION_POINTS","POIN AKSI"
"LABEL_ACTION_SLOTS","SLOT AKSI"
"LABEL_AI_SPEED","KECEPATAN AI"
"LABEL_ATTACK","SERANG"
"LABEL_AUTO_FOLLOW","IKUTI OTOMATIS KAMERA"
"LABEL_BACK","KEMBALI"
"LABEL_BACK_TO_MENU","BUKA MENU UTAMA"
"LABEL_BIGGER","LEBIH BESAR"
"LABEL_BLUE","BIRU"
"LABEL_BLUE_TEAM","TIM BIRU"
"LABEL_BLUE_TEAM_TURN","GILIRAN TIM BIRU"
"LABEL_BLUE_WINS","BIRU MENANG"
"LABEL_BUILDING","BANGUNAN"
"LABEL_BUILDING_AIRPORT","BANDARA"
"LABEL_BUILDING_BARRACKS","BARAK"
"LABEL_BUILDING_FACTORY","PABRIK"
"LABEL_BUILDING_GSM_TOWER","MENARA GSM"
"LABEL_BUILDING_HQ","MARKAS"
"LABEL_CAMERA_MOVE_TO_BUNKER","GERAKKAN KAMERA KE MARKAS"
"LABEL_CAMERA_SHAKE","GOYANGAN KAMERA"
"LABEL_CAMERA_SPEED","KECEPATAN KAMERA"
"LABEL_CAMPAIGN","KAMPANYE"
"LABEL_CANCEL","Batal"
"LABEL_CLEAR","BERSIHKAN"
"LABEL_CLEAR_SLOT","KOSONGKAN SLOT PERMAINAN"
"LABEL_COMPLETED","SELESAI"
"LABEL_CONFIRM","KONFIRMASI"
"LABEL_CPU","CPU"
"LABEL_CPU_TURN","GILIRAN CPU"
"LABEL_CREATE","BUAT"
"LABEL_CREATE_MATCH","BUAT PERTANDINGAN"
"LABEL_CURRENT_MAP","PETA SAAT INI"
"LABEL_CURRENT_TEAM","TIM SAAT INI"
"LABEL_DELETE_MODE","HAPUS"
"LABEL_DEPLOY","KERAHKAN"
"LABEL_DEPLOYED","DIKERAHKAN"
"LABEL_DEPLOY_PRICE","HARGA PENGERAHAN"
"LABEL_DEPLOY_UNIT","BELI UNIT BARU"
"LABEL_DIFFICULTY","TINGKAT KESULITAN"
"LABEL_DOMINATION","DOMINASI"
"LABEL_DONE","Selesai"
"LABEL_DOWNLOAD","Unduh"
"LABEL_DOWNLOAD_MAP","Unduh Peta"
"LABEL_EASY","MUDAH"
"LABEL_ELIMINATED","TERELIMINASI"
"LABEL_END","AKHIRI"
"LABEL_END_TURN","AKHIRI GILIRAN ANDA"
"LABEL_ENEMY_TURN","GILIRAN LAWAN"
"LABEL_FAILURE","OPERASI GAGAL"
"LABEL_FALL","MUSIM GUGUR"
"LABEL_FORFEIT","MENYERAH"
"LABEL_FULL_SCREEN","LAYAR PENUH"
"LABEL_GAME","PERMAINAN"
"LABEL_GAMEPAD_INFO","INFO GAMEPAD"
"LABEL_GAME_MENU_MOVEMENT","NAVIGASI MENU"
"LABEL_GAME_OVER","PERMAINAN SELESAI"
"LABEL_GAME_TIME","WAKTU PERMAINAN"
"LABEL_GFX","GFX"
"LABEL_GOT_IT","Mengerti!"
"LABEL_HEALTH","KESEHATAN"
"LABEL_HEALTH_MAX","KESEHATAN / MAKS"
"LABEL_HELP","BANTUAN"
"LABEL_HUMAN","MANUSIA"
"LABEL_INFANTRY","INFANTERI"
"LABEL_INVALID_MATCH","PERTANDINGAN TIDAK VALID"
"LABEL_JOIN","BERGABUNG"
"LABEL_JOIN_MATCH","GABUNG PERTANDINGAN"
"LABEL_LANGUAGE","BAHASA"
"LABEL_LATER","Mungkin nanti"
"LABEL_LOADING_MATCH","MEMUAT PERTANDINGAN"
"LABEL_LOCAL","LOKAL"
"LABEL_MAIN_MENU","MENU UTAMA"
"LABEL_MAP EDITOR","EDITOR PETA"
"LABEL_MAPS","PETA"
"LABEL_MAPS_CREATED","PETA DIBUAT"
"LABEL_MAP_CODE","PETA: "
"LABEL_MAP_NAME","NAMA PETA"
"LABEL_MAP_TO_UPLOAD","Peta untuk diunggah"
"LABEL_MATCH_CODE","KODE PERTANDINGAN: "
"LABEL_MATCH_ENDED","PERTANDINGAN BERAKHIR"
"LABEL_MATCH_FORFEIT","LAWAN KELUAR"
"LABEL_MATCH_IN_PROGRESS","SEDANG BERLANGSUNG"
"LABEL_MENU","MENU"
"LABEL_MISSION","MISI"
"LABEL_MISSION_COMPLETED","MISI SELESAI"
"LABEL_MOVES","GERAKAN"
"LABEL_MULTIPLAYER","MULTIPEMAIN"
"LABEL_MUSIC","MUSIK"
"LABEL_NAME","NAMA"
"LABEL_NEW_MATCH","PERTANDINGAN BARU"
"LABEL_NEW_TURN","GILIRAN BARU"
"LABEL_NEXT","SELANJUTNYA"
"LABEL_NEXT_TURN","AKHIRI GILIRAN"
"LABEL_NEXT_TURN_GAIN","KEUNTUNGAN GILIRAN SELANJUTNYA"
"LABEL_NEXT_UNIT","PILIH UNIT SELANJUTNYA"
"LABEL_NORMAL","NORMAL"
"LABEL_NO_MORE_MOVES","TIDAK ADA GERAKAN TERSISA"
"LABEL_OFF","MATI"
"LABEL_OK","OK"
"LABEL_ON","NYALA"
"LABEL_ONLINE","ONLINE"
"LABEL_ONLINE_MENU","PETA ONLINE"
"LABEL_OVERSCAN","OVERSCAN"
"LABEL_PAGE","HALAMAN"
"LABEL_PICK_SIDE","PILIH SISI"
"LABEL_PLAY","MAIN"
"LABEL_PLAYERS_TIME","WAKTU PEMAIN"
"LABEL_PLAYING_AS","BERMAIN SEBAGAI"
"LABEL_PLAY_AGAIN","MAIN LAGI"
"LABEL_PLEASE_WAIT","HARAP TUNGGU..."
